Unnamed: 0,Şehir,Parti,Meslek,Doğum Yeri,Doğum Yılı
Abdullah DOĞRU,Adana,AK Parti,mühendis,Malatya,1965
Ahmet ZENBİLCİ,Adana,AK Parti,kamu yöneticisi,Kozan,1966
Ayhan BARUT,Adana,CHP,mühendis,Adana,1964
Ayşe Sibel ERSOY,Adana,MHP,eczacı,Adana,1964
Burhanettin BULUT,Adana,CHP,eczacı,Bitlis,1964
İsmail KONCUK,Adana,İYİ Parti,öğretmen,Adana,1964
Jülide SARIEROĞLU,Adana,AK Parti,ekonomist,Adana,1979
Kemal PEKÖZ,Adana,HDP,yayın yönetmeni,Malatya,1951
Mehmet Metanet ÇULHAOĞLU,Adana,İYİ Parti,diş hekimi,Malatya,1951
Mehmet Şükrü ERDİNÇ,Adana,AK Parti,hukukçu,Adıyaman,1976
Muharrem VARLI,Adana,MHP,öğretmen,Adana,1969
Müzeyyen ŞEVKİN,Adana,CHP,jeolog,Adana,1961
Orhan SÜMER,Adana,CHP,iş insanı,Adana,1963
Tamer DAĞLI,Adana,AK Parti,ekonomist,Adana,1971
Tulay HATIMOĞULLARI ORUÇ,Adana,HDP,ekonomist,Hatay,1977
ADIYAMAN,,,,,
Abdurrahman TUTDERE,Adıyaman,CHP,avukat,Adıyaman,1976
Ahmet AYDIN,Adıyaman,AK Parti,avukat,Adıyaman,1971
İbrahim Halil FIRAT,Adıyaman,AK Parti,avukat,Adıyaman,1973
Muhammed Fatih TOPRAK,Adıyaman,AK Parti,avukat,Adıyaman,1985
Yakup TAŞ,Adıyaman,AK Parti,iş adamı,Adıyaman,1959
AFYONKARAHİSAR,,,,,
Ali ÖZKAYA,Afyonkarahisar,AK Parti,avukat,Afyonkarahisar,1970
Burcu KÖKSAL,Afyonkarahisar,CHP,avukat,Afyonkarahisar,1980
Gültekin UYSAL,Afyonkarahisar,DP,kamu yöneticisi,Afyonkarahisar,1976
İbrahim YURDUNUSEVEN,Afyonkarahisar,AK Parti,avukat,Afyonkarahisar,1969
Mehmet TAYTAK,Afyonkarahisar,MHP,eğitimci,Afyonkarahisar,1959
Veysel EROĞLU,Afyonkarahisar,AK Parti,öğretim üyesi,Afyonkarahisar,1948
AĞRI,,,,,
Abdullah KOÇ,Ağrı,HDP,avukat,Ağrı,1972
Berdan ÖZTÜRK,Ağrı,HDP,avukat,Ağrı,1980
Dirayet Dilan TAŞDEMİR,Ağrı,HDP,sosyolog,Ağrı,1982
Ekrem ÇELEBİ,Ağrı,AK Parti,yönetici,Ağrı,1965
AKSARAY,Ağrı,,,,
